,Team,Opponent
0,16,3
1,3,16
2,14,9
3,9,14
4,29,28
5,28,29
6,18,17
7,17,18
8,11,30
9,30,11
10,4,22
11,22,4
12,15,12
13,12,15
14,13,21
15,21,13
16,24,26
17,26,24
18,25,27
19,27,25
20,20,19
21,19,20
22,1,5
23,5,1
24,2,8
25,8,2
26,23,10
27,10,23
28,3,7
29,7,3
30,9,6
31,6,9
32,19,22
33,22,19
34,18,20
35,20,18
36,17,21
37,21,17
38,11,28
39,28,11
40,4,24
41,24,4
42,13,16
43,16,13
44,12,29
45,29,12
46,30,15
47,15,30
48,25,1
49,1,25
50,14,5
51,5,14
52,10,2
53,2,10
54,3,20
55,20,3
56,18,29
57,29,18
58,28,16
59,16,28
60,21,26
61,26,21
62,13,24
63,24,13
64,7,30
65,30,7
66,8,15
67,15,8
68,5,27
69,27,5
70,23,6
71,6,23
72,9,10
73,10,9
74,11,19
75,19,11
76,26,17
77,17,26
78,22,1
79,1,22
80,27,25
81,25,27
82,14,23
83,23,14
84,6,2
85,2,6
86,3,18
87,18,3
88,13,24
89,24,13
90,12,28
91,28,12
92,21,16
93,16,21
94,30,1
95,1,30
96,15,4
97,4,15
98,25,20
99,20,25
100,10,5
101,5,10
102,17,29
103,29,17
104,22,8
105,8,22
106,27,6
107,6,27
108,2,14
109,14,2
110,26,28
111,28,26
112,29,11
113,11,29
114,7,4
115,4,7
116,12,19
117,19,12
118,24,3
119,3,24
120,21,18
121,18,21
122,25,20
123,20,25
124,1,30
125,30,1
126,5,9
127,9,5
128,10,13
129,13,10
130,4,8
131,8,4
132,27,6
133,6,27
134,14,13
135,13,14
136,23,15
137,15,23
138,29,11
139,11,29
140,28,19
141,19,28
142,16,26
143,26,16
144,24,3
145,3,24
146,17,18
147,18,17
148,7,12
149,12,7
150,25,9
151,9,25
152,20,21
153,21,20
154,5,1
155,1,5
156,2,22
157,22,2
158,10,30
159,30,10
160,23,13
161,13,23
162,19,14
163,14,19
164,4,18
165,18,4
166,21,3
167,3,21
168,7,11
169,11,7
170,8,27
171,27,8
172,1,15
173,15,1
174,6,22
175,22,6
176,16,17
177,17,16
178,26,12
179,12,26
180,29,14
181,14,29
182,20,25
183,25,20
184,8,28
185,28,8
186,2,30
187,30,2
188,9,5
189,5,9
190,19,23
191,23,19
192,17,3
193,3,17
194,4,18
195,18,4
196,24,11
197,11,24
198,7,29
199,29,7
200,1,15
201,15,1
202,6,30
203,30,6
